command;permissive;policy_name;roles;schema_name;table_name;using_expression;with_check_expression
ALL;PERMISSIVE;Super admins can manage all transactions;{public};public;transactions;is_super_admin_user();is_super_admin_user()
ALL;PERMISSIVE;Users can manage their own transactions;{public};public;transactions;"((EXISTS ( SELECT 1
   FROM barbers
  WHERE ((barbers.id = transactions.barber_id) AND (barbers.user_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::app_role, 'tenant_admin'::app_role, 'super_admin'::app_role]))))) OR (auth.uid() = user_id))";
ALL;PERMISSIVE;Users can view their own tenant data;{public};public;transactions;"(tenant_id = ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
SELECT;PERMISSIVE;Everyone can view tutorial categories;{public};public;tutorial_categories;true;
ALL;PERMISSIVE;Only super admins can manage tutorial categories;{public};public;tutorial_categories;"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'super_admin'::text))))";
SELECT;PERMISSIVE;Everyone can view tutorials;{public};public;tutorials;true;
ALL;PERMISSIVE;Only super admins can manage tutorials;{public};public;tutorials;"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'super_admin'::text))))";
INSERT;PERMISSIVE;Users can create invitations for their tenant;{authenticated};public;user_invitations;;"((tenant_id IN ( SELECT tenant_memberships.tenant_id
   FROM tenant_memberships
  WHERE (tenant_memberships.user_id = auth.uid()))) OR (tenant_id = auth.uid()))"
UPDATE;PERMISSIVE;Users can update invitations for their tenant;{authenticated};public;user_invitations;"((tenant_id IN ( SELECT tenant_memberships.tenant_id
   FROM tenant_memberships
  WHERE (tenant_memberships.user_id = auth.uid()))) OR (tenant_id = auth.uid()))";
SELECT;PERMISSIVE;Users can view invitations for their tenant;{authenticated};public;user_invitations;"((tenant_id IN ( SELECT tenant_memberships.tenant_id
   FROM tenant_memberships
  WHERE (tenant_memberships.user_id = auth.uid()))) OR (tenant_id = auth.uid()))";
ALL;PERMISSIVE;Users can manage their own backup codes;{authenticated};public;user_mfa_backup_codes;(auth.uid() = user_id);
ALL;PERMISSIVE;Users can manage their own preferences;{public};public;user_onboarding_preferences;(auth.uid() = user_id);
SELECT;PERMISSIVE;Users can view their own preferences;{public};public;user_onboarding_preferences;(auth.uid() = user_id);
ALL;PERMISSIVE;Users can manage their own onboarding progress;{authenticated};public;user_onboarding_progress;(auth.uid() = user_id);
ALL;PERMISSIVE;Super admins can manage roles;{public};public;user_roles;has_role(auth.uid(), 'super_admin'::app_role);has_role(auth.uid(), 'super_admin'::app_role)
SELECT;PERMISSIVE;Users can view their own role;{public};public;user_roles;((auth.uid() = user_id) OR has_role(auth.uid(), 'super_admin'::app_role));
ALL;PERMISSIVE;Users can manage their own tour states;{authenticated};public;user_tour_states;(auth.uid() = user_id);
SELECT;PERMISSIVE;Users can view their own challenges;{authenticated};public;verification_challenges;"(email = ( SELECT profiles.email
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
SELECT;PERMISSIVE;Reception reads waiting list;{authenticated};public;waiting_list;(tenant_id = reception_tenant_id(auth.uid()));
UPDATE;PERMISSIVE;Reception updates waiting list;{authenticated};public;waiting_list;((tenant_id = reception_tenant_id(auth.uid())) AND reception_can(auth.uid(), 'manage_waiting_list'::text));((tenant_id = reception_tenant_id(auth.uid())) AND reception_can(auth.uid(), 'manage_waiting_list'::text))
INSERT;PERMISSIVE;Reception writes waiting list;{authenticated};public;waiting_list;;((tenant_id = reception_tenant_id(auth.uid())) AND reception_can(auth.uid(), 'manage_waiting_list'::text))
ALL;PERMISSIVE;Tenant manages waiting list;{authenticated};public;waiting_list;((tenant_id = get_my_tenant_id()) OR is_super_admin_user());((tenant_id = get_my_tenant_id()) OR is_super_admin_user())
ALL;PERMISSIVE;Users can manage wallets of their customers;{public};public;wallet;(auth.uid() = user_id);
SELECT;PERMISSIVE;Users can view wallets of their customers;{public};public;wallet;(auth.uid() = user_id);
ALL;PERMISSIVE;Users can manage transactions of their customers;{public};public;wallet_transactions;(auth.uid() = user_id);
SELECT;PERMISSIVE;Users can view transactions of their customers;{public};public;wallet_transactions;(auth.uid() = user_id);
SELECT;PERMISSIVE;Barbearias podem ver seus próprios logs;{public};public;webhook_logs;(auth.uid() = barbershop_id);
ALL;PERMISSIVE;Users can manage their own whatsapp connections;{public};public;whatsapp_cloud_connections;(auth.uid() = user_id);
SELECT;PERMISSIVE;Barbers can view their conversations;{authenticated};public;whatsapp_conversations;"(EXISTS ( SELECT 1
   FROM barbers b
  WHERE ((b.id = whatsapp_conversations.barber_id) AND (b.user_id = auth.uid()))))";
ALL;PERMISSIVE;Service role can manage all conversations;{service_role};public;whatsapp_conversations;true;
ALL;PERMISSIVE;Users can manage their own delivery logs;{public};public;whatsapp_delivery_logs;(auth.uid() = tenant_id);(auth.uid() = tenant_id)
SELECT;PERMISSIVE;Users can view their own delivery logs;{public};public;whatsapp_delivery_logs;(tenant_id = auth.uid());
ALL;PERMISSIVE;Manage own whatsapp instances;{public};public;whatsapp_instances;((auth.uid() = tenant_id) OR (auth.uid() = barber_id));
SELECT;PERMISSIVE;View own whatsapp instances;{public};public;whatsapp_instances;((auth.uid() = tenant_id) OR (auth.uid() = barber_id));
SELECT;PERMISSIVE;Users can view their own whatsapp messages;{public};public;whatsapp_messages;(auth.uid() = user_id);
ALL;PERMISSIVE;Users can manage their own whatsapp templates;{public};public;whatsapp_templates;(auth.uid() = user_id);
SELECT;PERMISSIVE;Users can view their own integration logs;{public};public;zapi_integration_logs;(auth.uid() = tenant_id);
SELECT;PERMISSIVE;Tenants can view their own debug logs;{public};public;zapi_webhook_debug;"(tenant_id = ( SELECT profiles.tenant_id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
ALL;PERMISSIVE;Service role manages zapi webhook logs;{service_role};public;zapi_webhook_logs;true;true
SELECT;PERMISSIVE;Tenants can view their own webhook logs;{public};public;zapi_webhook_logs;(auth.uid() = tenant_id);
